170,Kingsbridge International High School
171,Bronx School of Law and Finance
172,International School for Liberal Arts
173,Bronx Collaborative High School
174,World View High School
175,In-Tech Academy (M.S. / High School 368)
176,Knowledge and Power Preparatory Academy International High School (Kappa)
177,High School for Teaching and the Professions
178,Belmont Preparatory High School
179,Fordham High School for the Arts
180,Fordham Leadership Academy for Business and Technology
181,Bronx High School for Law and Community Service
182,DeWitt Clinton High School
183,"Celia Cruz Bronx High School of Music, The"
184,Bronx High School of Science
185,Marble Hill High School for International Studies
186,Crotona International High School
187,Bronx Theatre High School
188,Discovery High School
189,High School for Energy and Technology
190,High School of American Studies at Lehman College
191,Bronx Health Sciences High School
192,Bronx High School for Writing and Communication Arts
193,Bronx Lab School
194,Academy for Scholarship and Entrepreneurship: A College Board School
195,High School of Computers and Technology
196,Collegiate Institute for Math and Science
197,Bronx Academy of Health Careers
198,Astor Collegiate Academy
199,Bronx High School for the Visual Arts
200,Harry S Truman High School
201,Bronxdale High School
202,High School of Language and Innovation
203,New World High School
204,The Bronxwood Preparatory Academy
205,Pelham Preparatory Academy
206,High School for Contemporary Arts
207,Bronx Aerospace High School
208,Mott Hall V
209,"Metropolitan High School, The"
210,Explorations Academy
211,Bronx Latin
212,East Bronx Academy for the Future
213,Peace and Diversity Academy
214,Urban Assembly School for Wildlife Conservation
215,Pan American International High School at Monroe
216,THE CINEMA SCHOOL
217,Bronx Career and College Preparatory High School
218,Bronx Envision Academy
219,The Metropolitan Soundview High School
220,High School of World Cultures
221,Fannie Lou Hamer Freedom High School
222,Wings Academy
223,Monroe Academy for Visual Arts & Design
224,Dr. Susan S. McKinney Secondary School of the Arts
225,Urban Assembly High School of Music and Art
226,"Brooklyn Community High School of Communication, Arts and Media"
227,"Science Skills Center High School for Science, Technology and the Creative Arts"
228,Brooklyn Technical High School
229,Brooklyn International High School
230,The Urban Assembly School for Law and Justice
231,ACORN Community High School
232,Urban Assembly Institute of Math and Science for Young Women
233,Bedford Academy High School
234,George Westinghouse Career and Technical Education High School
235,Benjamin Banneker Academy
236,"City Polytechnic High School of Engineering, Architecture, and Technology"
237,Juan Morel Campos Secondary School
238,Foundations Academy
239,"Brooklyn Latin School, The"
240,Green School: An Academy for Environmental Careers
241,PROGRESS High School for Professional Careers
242,School for Legal Studies
243,"The High School for Enterprise, Business and Technology"
244,Brooklyn Preparatory High School
245,Williamsburg High School for Architecture and Design
246,Williamsburg Preparatory School
247,Lyons Community School
248,Automotive High School
249,Young Women's Leadership School of Brooklyn
250,Frances Perkins Academy
251,El Puente Academy for Peace and Justice
252,Brooklyn Frontiers High School
253,Brooklyn School for Global Studies
254,Brooklyn Secondary School for Collaborative Studies
255,Secondary School for Law
256,Secondary School for Journalism
257,Park Slope Collegiate
258,School for International Studies
259,Cobble Hill School of American Studies
260,Khalil Gibran International Academy
261,Brooklyn High School of the Arts
262,Sunset Park High School
263,Millennium Brooklyn HS
264,Frederick Douglass Academy IV Secondary School
265,Boys and Girls High School
266,Brooklyn High School for Law and Technology
267,Gotham Professional Arts Academy
268,The Brooklyn Academy of Global Finance
269,Nelson Mandela School for Social Justice
270,Pathways in Technology Early College High School (P-Tech)
271,Academy for College Preparation and Career Exploration: A College Board School
272,Academy of Hospitality and Tourism
273,International High School at Prospect Heights
274,The High School for Global Citizenship
275,"School for Human Rights, The"
276,School for Democracy and Leadership
277,High School for Youth and Community Development at Erasmus
278,High School for Service & Learning at Erasmus
279,"Science, Technology and Research Early College High School at Erasmus"
280,High School for Public Service: Heroes of Tomorrow
281,Brooklyn Academy of Science and the Environment
282,Brooklyn School for Music & Theatre
283,Medgar Evers College Preparatory School
284,Clara Barton High School
285,Brooklyn Institute for Liberal Arts
286,Academy for Health Careers
287,It Takes a Village Academy
288,Brooklyn Generation School
289,Brooklyn Theatre Arts High School
290,Kurt Hahn Expeditionary Learning School
291,Victory Collegiate High School
292,Arts & Media Preparatory Academy
293,High School for Innovation in Advertising and Media
294,Cultural Academy for the Arts and Sciences
295,High School for Medical Professions
296,Academy for Conservation and the Environment
297,Urban Action Academy
298,Academy for Young Writers
299,East New York Family Academy
300,Spring Creek Community School
301,FDNY High School for Fire and Life Safety
302,High School for Civil Rights
303,Performing Arts and Technology High School
304,World Academy for Total Community Health High School
305,Multicultural High School
306,Transit Tech Career and Technical Education High School
307,Academy of Innovative Technology
308,Brooklyn Lab School
309,Cypress Hills Collegiate Preparatory School
310,W. H. Maxwell Career and Technical Education High School
311,"The School for Classics: An Academy of Thinkers, Writers and Peformers"
312,The Urban Assembly School for Collaborative Healthcare
313,New Utrecht High School
314,High School of Telecommunication Arts and Technology
315,Fort Hamilton High School
316,Franklin Delano Roosevelt High School
317,Urban Assembly School for Criminal Justice
318,International High School at Lafayette
319,Rachel Carson High School for Coastal Studies
320,High School of Sports Management
321,Abraham Lincoln High School
322,Kingsborough Early College School
323,Edward R. Murrow High School
324,John Dewey High School
325,Life Academy High School for Film and Music
326,Expeditionary Learning School for Community Leaders
327,William E. Grady Career and Technical Education High School
328,Brooklyn Studio Secondary School
329,Midwood High School
330,James Madison High School
331,Leon M. Goldstein High School for the Sciences
332,Brooklyn College Academy
333,Origins High School
334,Brooklyn Collegiate: A College Board School
335,Frederick Douglass Academy VII High School
336,Eagle Academy for Young Men II
337,Teachers Preparatory High School
338,International High School for Health Sciences
339,Academy of Finance and Enterprise
340,High School of Applied Communication
341,Civic Leadership Academy
